"","date","name","First dose","Second dose","Third dose"
"1","2022-02-04","England",13583,26493,30007
"2","2022-02-03","England",11780,24026,29975
"3","2022-02-02","England",11084,25034,29805
"4","2022-02-01","England",11152,24192,29596
"5","2022-01-31","England",10282,20875,31547
"6","2022-01-30","England",10058,22711,26722
"7","2022-01-29","England",16477,34382,46367
"8","2022-01-28","England",15185,30250,44732
"9","2022-01-27","England",13989,26326,42450
"10","2022-01-26","England",13789,27307,43835
"11","2022-01-25","England",12356,24300,43353
"12","2022-01-24","England",14931,24288,45199
"13","2022-01-23","England",10514,24326,31966
"14","2022-01-22","England",18308,38632,60732
"15","2022-01-21","England",16025,29798,56634
"16","2022-01-20","England",15285,27069,49087
"17","2022-01-19","England",15408,25720,50791
"18","2022-01-18","England",16010,25145,57675
"19","2022-01-17","England",13819,21951,54649
"20","2022-01-16","England",15345,24095,45923
"21","2022-01-15","England",25451,39142,90122
"22","2022-01-14","England",18405,25243,85517
"23","2022-01-13","England",18101,26550,87221
"24","2022-01-12","England",17112,25076,96154
"25","2022-01-11","England",16827,23179,108219
"26","2022-01-10","England",15755,21442,116227
"27","2022-01-09","England",19373,25539,109898
"28","2022-01-08","England",29231,41351,206676
"29","2022-01-07","England",20352,27800,180813
"30","2022-01-06","England",20102,26799,188716
"31","2022-01-05","England",22233,29779,199810
"32","2022-01-04","England",22307,33056,187298
"33","2022-01-03","England",17260,22166,117336
"34","2022-01-02","England",11797,15604,103407
"35","2022-01-01","England",2203,2684,17875
"36","2021-12-31","England",14380,19266,138936
"37","2021-12-30","England",30432,39755,320532
"38","2021-12-29","England",30008,39346,345462
"39","2021-12-28","England",21549,26626,258399
"40","2021-12-27","England",15766,18686,209626
"41","2021-12-26","England",1809,1991,20278
"42","2021-12-25","England",955,916,10477
"43","2021-12-24","England",10452,13540,153690
"44","2021-12-23","England",29980,39323,493033
"45","2021-12-22","England",35657,47314,695273
"46","2021-12-21","England",36309,48491,809192
"47","2021-12-20","England",36092,44655,753793
"48","2021-12-19","England",30298,36136,726195
"49","2021-12-18","England",35141,41112,830403
"50","2021-12-17","England",29563,37693,740775
"51","2021-12-16","England",29554,37626,739867
"52","2021-12-15","England",24607,33399,626846
"53","2021-12-14","England",30807,33130,548039
"54","2021-12-13","England",19270,25394,418544
"55","2021-12-12","England",19197,24900,333866
"56","2021-12-11","England",23546,34061,483361
"57","2021-12-10","England",19343,28294,362502
"58","2021-12-09","England",20751,29840,396278
"59","2021-12-08","England",18337,25110,340615
"60","2021-12-07","England",19228,23206,319214
"61","2021-12-06","England",17537,21622,268062
"62","2021-12-05","England",16008,20872,221674
"63","2021-12-04","England",24789,34276,412755
"64","2021-12-03","England",20806,26469,332834
"65","2021-12-02","England",22731,26919,353104
"66","2021-12-01","England",22406,28070,341121
"67","2021-11-30","England",27138,27933,325881
"68","2021-11-29","England",19496,22601,258944
"69","2021-11-28","England",15301,22482,223189
"70","2021-11-27","England",21362,30616,419657
"71","2021-11-26","England",19098,21923,320981
"72","2021-11-25","England",20677,19615,334749
"73","2021-11-24","England",21775,20048,315306
"74","2021-11-23","England",23445,18562,301034
"75","2021-11-22","England",20665,15567,249999
"76","2021-11-21","England",14066,11240,189138
"77","2021-11-20","England",23350,21592,412685
"78","2021-11-19","England",24413,18723,305470
"79","2021-11-18","England",24034,17429,318203
"80","2021-11-17","England",28332,18511,314138
"81","2021-11-16","England",27258,16897,282808
"82","2021-11-15","England",27672,15525,232248
"83","2021-11-14","England",18296,11959,176724
"84","2021-11-13","England",30618,22806,411430
"85","2021-11-12","England",31649,19229,299597
"86","2021-11-11","England",34640,19560,305139
"87","2021-11-10","England",115551,43996,465913
"88","2021-11-09","England",36321,18208,278763
"89","2021-11-08","England",30386,17398,222489
"90","2021-11-07","England",22430,11202,166959
"91","2021-11-06","England",33721,22869,371339
"92","2021-11-05","England",40573,19037,266470
"93","2021-11-04","England",40075,17167,274443
"94","2021-11-03","England",42413,17374,267772
"95","2021-11-02","England",43508,17807,246266
"96","2021-11-01","England",34642,15751,196712
"97","2021-10-31","England",22954,11464,131261
"98","2021-10-30","England",31157,22479,330445
"99","2021-10-29","England",36561,19175,238142
"100","2021-10-28","England",39397,19586,247995
"101","2021-10-27","England",39964,18740,236580
"102","2021-10-26","England",35780,19499,217396
"103","2021-10-25","England",32032,18251,188412
"104","2021-10-24","England",19607,14138,138088
"105","2021-10-23","England",32220,27527,325140
"106","2021-10-22","England",41732,22423,248183
"107","2021-10-21","England",44558,22027,255406
"108","2021-10-20","England",44521,21701,223816
"109","2021-10-19","England",38533,21141,199008
"110","2021-10-18","England",35334,20668,150296
"111","2021-10-17","England",9839,14545,99308
"112","2021-10-16","England",19735,30440,285730
"113","2021-10-15","England",35884,25380,198085
"114","2021-10-14","England",38185,23489,214287
"115","2021-10-13","England",32315,24828,190698
"116","2021-10-12","England",30636,22447,160010
"117","2021-10-11","England",23232,20350,121718
"118","2021-10-10","England",9111,15643,91878
"119","2021-10-09","England",18438,29751,250078
"120","2021-10-08","England",25536,25006,172645
"121","2021-10-07","England",25319,24208,176054
"122","2021-10-06","England",24519,24135,160387
"123","2021-10-05","England",35193,24253,154143
"124","2021-10-04","England",30784,24746,122358
"125","2021-10-03","England",10720,17502,88233
"126","2021-10-02","England",18736,30849,193759
"127","2021-10-01","England",31978,29993,153160
"128","2021-09-30","England",28689,30318,NA
"129","2021-09-29","England",27445,29907,NA
"130","2021-09-28","England",28566,29670,NA
"131","2021-09-27","England",20704,28590,NA
"132","2021-09-26","England",8814,21476,NA
"133","2021-09-25","England",17607,43049,NA
"134","2021-09-24","England",21866,39567,NA
"135","2021-09-23","England",21588,41728,NA
"136","2021-09-22","England",18462,39676,NA
"137","2021-09-21","England",16924,39248,NA
"138","2021-09-20","England",15669,41438,NA
"139","2021-09-19","England",10344,30458,NA
"140","2021-09-18","England",21628,66134,NA
"141","2021-09-17","England",17351,55257,NA
"142","2021-09-16","England",18974,58941,NA
"143","2021-09-15","England",20120,57096,NA
"144","2021-09-14","England",17708,56521,NA
"145","2021-09-13","England",15511,54807,NA
"146","2021-09-12","England",11724,42902,NA
"147","2021-09-11","England",23925,86068,NA
"148","2021-09-10","England",21879,78763,NA
"149","2021-09-09","England",22006,86592,NA
"150","2021-09-08","England",20409,75548,NA
"151","2021-09-07","England",22866,73004,NA
"152","2021-09-06","England",18277,69758,NA
"153","2021-09-05","England",15892,59265,NA
"154","2021-09-04","England",33987,116327,NA
"155","2021-09-03","England",29614,98122,NA
"156","2021-09-02","England",33775,103997,NA
"157","2021-09-01","England",37829,102086,NA
"158","2021-08-31","England",34618,105003,NA
"159","2021-08-30","England",15530,52137,NA
"160","2021-08-29","England",20547,64710,NA
"161","2021-08-28","England",37991,116583,NA
"162","2021-08-27","England",38392,115249,NA
"163","2021-08-26","England",46165,127267,NA
"164","2021-08-25","England",57563,142307,NA
"165","2021-08-24","England",45945,109221,NA
"166","2021-08-23","England",37974,113005,NA
"167","2021-08-22","England",32424,96246,NA
"168","2021-08-21","England",61187,174038,NA
"169","2021-08-20","England",51538,145473,NA
"170","2021-08-19","England",47632,153886,NA
"171","2021-08-18","England",39721,147569,NA
"172","2021-08-17","England",33478,120908,NA
"173","2021-08-16","England",28992,117998,NA
"174","2021-08-15","England",24829,101881,NA
"175","2021-08-14","England",39423,173718,NA
"176","2021-08-13","England",32476,143690,NA
"177","2021-08-12","England",35082,165425,NA
"178","2021-08-11","England",33164,145954,NA
"179","2021-08-10","England",28314,123721,NA
"180","2021-08-09","England",20933,112286,NA
"181","2021-08-08","England",18607,94332,NA
"182","2021-08-07","England",33159,184869,NA
"183","2021-08-06","England",27032,137172,NA
"184","2021-08-05","England",30986,143423,NA
"185","2021-08-04","England",28780,131581,NA
"186","2021-08-03","England",24874,108604,NA
"187","2021-08-02","England",22454,94425,NA
"188","2021-08-01","England",18545,92416,NA
"189","2021-07-31","England",32892,182825,NA
"190","2021-07-30","England",30683,142715,NA
"191","2021-07-29","England",35751,145472,NA
"192","2021-07-28","England",32492,131048,NA
"193","2021-07-27","England",29182,118328,NA
"194","2021-07-26","England",25220,115924,NA
"195","2021-07-25","England",20382,94435,NA
"196","2021-07-24","England",38958,177885,NA
"197","2021-07-23","England",37888,154761,NA
"198","2021-07-22","England",39457,156245,NA
"199","2021-07-21","England",38826,146281,NA
"200","2021-07-20","England",33657,126163,NA
"201","2021-07-19","England",31469,112544,NA
"202","2021-07-18","England",27654,105472,NA
"203","2021-07-17","England",59268,196422,NA
"204","2021-07-16","England",50247,163936,NA
"205","2021-07-15","England",52493,167152,NA
"206","2021-07-14","England",50005,151335,NA
"207","2021-07-13","England",49756,124905,NA
"208","2021-07-12","England",45184,99817,NA
"209","2021-07-11","England",33937,80755,NA
"210","2021-07-10","England",82150,174745,NA
"211","2021-07-09","England",77955,143603,NA
"212","2021-07-08","England",82807,135457,NA
"213","2021-07-07","England",72814,128226,NA
"214","2021-07-06","England",71524,109148,NA
"215","2021-07-05","England",63859,107977,NA
"216","2021-07-04","England",62672,85748,NA
"217","2021-07-03","England",121588,165665,NA
"218","2021-07-02","England",107959,142275,NA
"219","2021-07-01","England",133675,154177,NA
"220","2021-06-30","England",120497,138993,NA
"221","2021-06-29","England",115376,115484,NA
"222","2021-06-28","England",106496,107318,NA
"223","2021-06-27","England",118366,97993,NA
"224","2021-06-26","England",212685,172324,NA
"225","2021-06-25","England",177515,133375,NA
"226","2021-06-24","England",202390,136679,NA
"227","2021-06-23","England",187513,128688,NA
"228","2021-06-22","England",275647,210730,NA
"229","2021-06-21","England",0,0,NA
"230","2021-06-20","England",142223,78594,NA
"231","2021-06-19","England",255393,195646,NA
"232","2021-06-18","England",196246,162030,NA
"233","2021-06-17","England",217157,176158,NA
"234","2021-06-16","England",170367,180627,NA
"235","2021-06-15","England",154647,175703,NA
"236","2021-06-14","England",114606,174262,NA
"237","2021-06-13","England",123866,153449,NA
"238","2021-06-12","England",228144,276813,NA
"239","2021-06-11","England",177139,251641,NA
"240","2021-06-10","England",173443,248650,NA
"241","2021-06-09","England",149733,253913,NA
"242","2021-06-08","England",109068,252697,NA
"243","2021-06-07","England",89639,244107,NA
"244","2021-06-06","England",99621,217491,NA
"245","2021-06-05","England",175001,415644,NA
"246","2021-06-04","England",150337,321602,NA
"247","2021-06-03","England",157335,313526,NA
"248","2021-06-02","England",132668,288963,NA
"249","2021-06-01","England",75701,279285,NA
"250","2021-05-31","England",70948,154674,NA
"251","2021-05-30","England",99213,179424,NA
"252","2021-05-29","England",155467,381816,NA
"253","2021-05-28","England",174622,380855,NA
"254","2021-05-27","England",223510,374042,NA
"255","2021-05-26","England",206311,368554,NA
"256","2021-05-25","England",157084,327467,NA
"257","2021-05-24","England",95484,279672,NA
"258","2021-05-23","England",101708,220062,NA
"259","2021-05-22","England",178251,508013,NA
"260","2021-05-21","England",192008,371460,NA
"261","2021-05-20","England",234818,367142,NA
"262","2021-05-19","England",235979,309020,NA
"263","2021-05-18","England",154621,269283,NA
"264","2021-05-17","England",85946,210442,NA
"265","2021-05-16","England",105520,157687,NA
"266","2021-05-15","England",205962,353764,NA
"267","2021-05-14","England",185059,346425,NA
"268","2021-05-13","England",173820,378650,NA
"269","2021-05-12","England",146934,402524,NA
"270","2021-05-11","England",98515,308915,NA
"271","2021-05-10","England",76110,192723,NA
"272","2021-05-09","England",73338,160313,NA
"273","2021-05-08","England",137003,404510,NA
"274","2021-05-07","England",107518,414731,NA
"275","2021-05-06","England",101594,419232,NA
"276","2021-05-05","England",107791,348553,NA
"277","2021-05-04","England",99261,211639,NA
"278","2021-05-03","England",59113,99785,NA
"279","2021-05-02","England",70777,137400,NA
"280","2021-05-01","England",123619,329170,NA
"281","2021-04-30","England",115366,361758,NA
"282","2021-04-29","England",110976,395043,NA
"283","2021-04-28","England",103352,394152,NA
"284","2021-04-27","England",85067,313616,NA
"285","2021-04-26","England",67483,249768,NA
"286","2021-04-25","England",61586,227159,NA
"287","2021-04-24","England",124858,478008,NA
"288","2021-04-23","England",107656,394144,NA
"289","2021-04-22","England",103988,345675,NA
"290","2021-04-21","England",92703,339773,NA
"291","2021-04-20","England",84871,272929,NA
"292","2021-04-19","England",85055,215665,NA
"293","2021-04-18","England",69198,195871,NA
"294","2021-04-17","England",112095,458880,NA
"295","2021-04-16","England",102280,446025,NA
"296","2021-04-15","England",93587,363002,NA
"297","2021-04-14","England",79117,292383,NA
"298","2021-04-13","England",39361,257732,NA
"299","2021-04-12","England",25351,166273,NA
"300","2021-04-11","England",36599,160454,NA
"301","2021-04-10","England",74055,437442,NA
"302","2021-04-09","England",62274,404206,NA
"303","2021-04-08","England",55539,403212,NA
"304","2021-04-07","England",58962,372241,NA
"305","2021-04-06","England",54296,162466,NA
"306","2021-04-05","England",19826,54060,NA
"307","2021-04-04","England",26617,39491,NA
"308","2021-04-03","England",74512,157903,NA
"309","2021-04-02","England",68281,215754,NA
"310","2021-04-01","England",122410,411998,NA
"311","2021-03-31","England",188045,341748,NA
"312","2021-03-30","England",176063,233828,NA
"313","2021-03-29","England",186329,137405,NA
"314","2021-03-28","England",252376,127078,NA
"315","2021-03-27","England",367393,201335,NA
"316","2021-03-26","England",344008,250962,NA
"317","2021-03-25","England",258050,198206,NA
"318","2021-03-24","England",275881,208013,NA
"319","2021-03-23","England",268651,134547,NA
"320","2021-03-22","England",282561,64436,NA
"321","2021-03-21","England",295359,30418,NA
"322","2021-03-20","England",686424,70449,NA
"323","2021-03-19","England",535489,100730,NA
"324","2021-03-18","England",451465,104609,NA
"325","2021-03-17","England",392769,90906,NA
"326","2021-03-16","England",370842,62909,NA
"327","2021-03-15","England",330676,32082,NA
"328","2021-03-14","England",223017,14378,NA
"329","2021-03-13","England",457632,38640,NA
"330","2021-03-12","England",312716,67514,NA
"331","2021-03-11","England",211393,69680,NA
"332","2021-03-10","England",206720,70960,NA
"333","2021-03-09","England",181127,47151,NA
"334","2021-03-08","England",183736,23800,NA
"335","2021-03-07","England",140108,9133,NA
"336","2021-03-06","England",383618,21688,NA
"337","2021-03-05","England",385681,37235,NA
"338","2021-03-04","England",320388,45045,NA
"339","2021-03-03","England",231002,44001,NA
"340","2021-03-02","England",181316,27652,NA
"341","2021-03-01","England",160580,12632,NA
"342","2021-02-28","England",161559,9388,NA
"343","2021-02-27","England",371364,15584,NA
"344","2021-02-26","England",452777,16226,NA
"345","2021-02-25","England",432112,16168,NA
"346","2021-02-24","England",396937,14209,NA
"347","2021-02-23","England",284897,9581,NA
"348","2021-02-22","England",155084,5344,NA
"349","2021-02-21","England",113987,2346,NA
"350","2021-02-20","England",306109,2432,NA
"351","2021-02-19","England",323802,3895,NA
"352","2021-02-18","England",396262,4561,NA
"353","2021-02-17","England",422576,4497,NA
"354","2021-02-16","England",312669,3128,NA
"355","2021-02-15","England",219760,1854,NA
"356","2021-02-14","England",187246,837,NA
"357","2021-02-13","England",429497,2186,NA
"358","2021-02-12","England",436925,3733,NA
"359","2021-02-11","England",386734,4646,NA
"360","2021-02-10","England",338855,4092,NA
"361","2021-02-09","England",311654,2173,NA
"362","2021-02-08","England",252269,1419,NA
"363","2021-02-07","England",229514,312,NA
"364","2021-02-06","England",458318,601,NA
"365","2021-02-05","England",401636,1941,NA
"366","2021-02-04","England",388426,2611,NA
"367","2021-02-03","England",378794,2282,NA
"368","2021-02-02","England",300173,1386,NA
"369","2021-02-01","England",280513,1596,NA
"370","2021-01-31","England",289359,2757,NA
"371","2021-01-30","England",539691,10252,NA
"372","2021-01-29","England",436360,1526,NA
"373","2021-01-28","England",343193,1271,NA
"374","2021-01-27","England",251902,1090,NA
"375","2021-01-26","England",259306,1001,NA
"376","2021-01-25","England",234851,1326,NA
"377","2021-01-24","England",198592,610,NA
"378","2021-01-23","England",443330,774,NA
"379","2021-01-22","England",424478,1118,NA
"380","2021-01-21","England",357563,2334,NA
"381","2021-01-20","England",318151,2723,NA
"382","2021-01-19","England",298373,2989,NA
"383","2021-01-18","England",167150,3750,NA
"384","2021-01-17","England",154564,1284,NA
"385","2021-01-16","England",275434,1775,NA
"386","2021-01-15","England",320894,3817,NA
"387","2021-01-14","England",274793,4854,NA
"388","2021-01-13","England",239815,8362,NA
"389","2021-01-12","England",174276,13369,NA
"390","2021-01-11","England",121129,19312,NA
